Number,SAT,Pairs,Evals,Backtracks,Runtime
1095,True,28,24,10,30.730751037597656
1096,True,44,8,1,26.93535041809082
1097,True,43,10,4,29.43697214126587
1098,True,44,10,2,26.202990770339966
1099,True,29,304,150,69.3427746295929
1100,True,43,8,2,26.721118211746216
1101,True,46,26,12,30.450318574905396
1102,True,46,32,14,32.383368253707886
1103,True,43,14,5,29.62215757369995
1104,True,50,14,5,27.356873989105225
1105,True,47,36,17,37.146477937698364
1106,True,45,21,9,30.74525260925293
1107,True,43,8,3,27.251312017440796
1108,True,42,8,2,27.96408987045288
1109,True,45,50,23,34.06313443183899
1110,True,43,18,8,30.78974461555481
1111,True,42,21,8,30.26630973815918
1112,True,42,51,25,34.97490310668945
1113,True,27,9,2,27.172112226486206
1114,True,45,8,3,27.00081157684326
1115,True,41,11,4,27.156523942947388
1116,True,27,34,16,39.612672328948975
1117,True,48,7,2,26.541722536087036
1118,True,27,40,17,34.595197439193726
1119,True,28,233,115,97.81858563423157
1120,True,43,26,12,31.58910584449768
1121,True,44,13,4,26.941587209701538
1122,True,44,7,2,25.691577672958374
1123,True,44,24,10,30.835838317871094
1124,True,47,5,1,26.730106353759766
1125,True,45,50,24,33.53480100631714
1126,True,34,14,5,27.92111849784851
1127,True,44,41,19,34.154821157455444
1128,True,43,10,4,28.862563848495483
1129,True,46,34,16,33.44534182548523
1130,True,45,8,0,25.934473514556885
1131,True,48,19,9,29.75534749031067
1132,True,46,10,2,25.586570739746094
1133,True,48,40,19,35.55151915550232
1134,True,45,13,5,28.05130696296692
1135,True,43,67,32,37.008272886276245
1136,True,49,5,1,26.27404260635376
1137,True,46,46,22,36.151572465896606
1138,True,49,40,18,29.606209754943848
1139,True,29,158,76,91.24006581306458
1140,True,48,3,0,25.60489821434021
1141,True,42,20,8,31.53850817680359
1142,True,44,3,0,24.870523929595947
1143,True,47,8,2,26.705955505371094
1144,True,45,9,3,26.586718320846558
1145,True,46,13,5,27.371684551239014
1146,True,47,32,15,28.762746810913086
1147,True,44,24,11,31.52623462677002
1148,True,48,5,0,26.32852005958557
1149,True,45,9,2,26.18264603614807
